"name","price","gross","seller"
"飞利浦E106","89.00","50万+","飞利浦手机京东自营旗舰店"
"华为畅享9 Plus","1399.00","60万+","华为京东自营官方旗舰店"
"华为P30 Pro","5487.00","9万+","华为京东自营官方旗舰店"
"华为P30","3688.00","61万+","华为京东自营官方旗舰店"
"飞利浦E106","99.00","400+","三猫手机专营店"
"飞利浦E106","99.00","200+","宏图手机专营店"
"飞利浦E106","139.00","30+","老人手机旗舰店"
"飞利浦E106","99.00","5","恒润手机专营店"
"飞利浦E106","99.00","2","飞利浦手机旗舰店"
"华为畅享9 Plus","1299.00","13万+","华为京东自营官方旗舰店"
"华为畅享9 Plus","1198.00","1.2万+","掌视界数码旗舰店"
"华为畅享9 Plus","1188.00","7600+","新松联手机旗舰店"
"华为畅享9 Plus","1099.00","7600+","牧申手机旗舰店"
"诺基亚105","139.00","65万+","诺基亚手机京东自营旗舰店"
"华为P30 Pro","5487.00","8.7万+","华为京东自营官方旗舰店"
"华为P30 Pro","5987.00","6.9万+","华为京东自营官方旗舰店"
"小米Redmi K20 Pro","2799.00","11万+","小米京东自营旗舰店"
"华为荣耀9X","1289.00","79万+","荣耀京东自营旗舰店"
"华为荣耀20","1089.00","71万+","荣耀京东自营旗舰店"
"华为P30","4488.00","1.9万+","福气多多手机旗舰店"
"华为P30","3688.00","1.5万+","掌视界数码旗舰店"
"华为P30","3688.00","1.5万+","福气多多手机旗舰店"
"华为P30","4488.00","1.3万+","臻火旗舰店"
"华为P30","4488.00","1.3万+","掌视界数码旗舰店"
"飞利浦E106","119.00","0","诺必信手机通讯专营店"
"飞利浦E106","99.00","0","酷威手机专营店"
"华为荣耀8X","1089.00","213万+","荣耀京东自营旗舰店"
"华为畅享9 Plus","1149.00","6000+","聚捷联盛手机旗舰店"
"华为畅享9 Plus","1189.00","5900+","炜东电商旗舰店"
"诺基亚105","999.00","29万+","诺基亚手机京东自营旗舰店"
"诺基亚105","199.00","5.5万+","众盛手机专营店"
"诺基亚105","133.00","2万+","京联通达旗舰店"
"诺基亚105","129.00","1.7万+","欧霖爵手机旗舰店"
"诺基亚105","129.00","1.1万+","佳沪手机旗舰店"
"华为P30 Pro","5488.00","6.9万+","华为京东自营官方旗舰店"
"华为P30 Pro","5487.00","5万+","华为京东自营官方旗舰店"
"华为P30 Pro","5987.00","4.7万+","华为京东自营官方旗舰店"
"小米Redmi K20 Pro","2999.00","8.3万+","小米京东自营旗舰店"
"小米Redmi K20 Pro","2299.00","6.1万+","小米京东自营旗舰店"
"小米Redmi K20 Pro","2699.00","3400+","明日数码旗舰店"
"小米Redmi K20 Pro","1768.00","2400+","疆界互联旗舰店"
"华为荣耀9X","1989.00","7.2万+","荣耀京东自营旗舰店"
"华为荣耀9X","1499.00","9300+","牧申手机旗舰店"
"华为P30","3388.00","1.2万+","炜东电商旗舰店"
"华为P30","4488.00","8500+","炜东电商旗舰店"
"华为P30","3688.00","8400+","臻火旗舰店"
"华为P30","4488.00","8400+","OKSJ手机旗舰店"
"华为P30","3388.00","5900+","OKSJ手机旗舰店"
"华为P30","3688.00","4900+","天翼电信旗舰店"
"华为荣耀20","1499.00","19万+","荣耀京东自营旗舰店"
"华为荣耀20","2689.00","18万+","荣耀京东自营旗舰店"
"华为荣耀20","1089.00","3.9万+","荣耀京东自营旗舰店"
"华为荣耀20","999.40","1.3万+","京铠玄手机旗舰店"
"华为荣耀20","1699.80","1.1万+","疆界互联旗舰店"
"华为荣耀8X","1289.00","38万+","荣耀京东自营旗舰店"
"华为荣耀8X","899.00","2.4万+","牧申手机旗舰店"
"华为荣耀8X","899.00","1.7万+","佳沪手机旗舰店"
"华为荣耀8X","899.00","1.5万+","OKSJ手机旗舰店"
"华为荣耀8X","888.00","1.2万+","掌视界数码旗舰店"
"华为畅享9 Plus","858.00","5800+","宏图手机专营店"
"华为畅享9 Plus","1199.00","5200+","京联通达旗舰店"
"华为畅享9 Plus","1099.00","4000+","聚捷联盛手机旗舰店"
"华为畅享9 Plus","1099.00","4100+","聚捷联盛手机旗舰店"
"诺基亚105","139.00","8500+","银河信业手机专营店"
"诺基亚105","145.00","7100+","炜东电商旗舰店"
"诺基亚105","138.00","3300+","银河信业专营店"
"华为P30 Pro","5487.00","4万+","华为京东自营官方旗舰店"
"华为P30 Pro","4488.00","1.9万+","福气多多手机旗舰店"
"小米Redmi K20 Pro","2199.00","2100+","佳沪手机旗舰店"
"小米Redmi K20 Pro","2699.00","2000+","疆界互联旗舰店"
"小米Redmi K20 Pro","2388.00","1400+","宏图手机专营店"
